nom_norm,code_postal,code_insee,lat,lon,population,dept,nom
ORCHAISE,41190,41142,47.57150,1.19680,0,41,Orchaise
ORIGNY LE BUTIN,61400,61196,48.38410,0.50390,0,61,Origny-le-Butin
ORLIAGUET,24370,24325,44.90000,1.40060,0,24,Orliaguet
ORMOY SUR AUBE,52120,52274,47.99050,4.85030,0,52,Ormoy-sur-Aube
ORNACIEUX,38260,38284,45.39430,5.21370,0,38,Ornacieux
ORNEL,55400,55191,49.23580,5.61000,0,55,Ornel
ORVEAU BELLESAUVE,45330,45191,48.27450,2.33920,0,45,Orveau-Bellesauve
OSSELLE,25410,25438,47.15650,5.86220,0,25,Osselle
OUCHAMPS,41700,41059,47.43270,1.38510,0,41,Ouchamps
OUCQUES,41290,41171,47.81040,1.27560,0,41,Oucques
OULLINS,69600,69149,45.70800,4.81120,0,69,Oullins
OULMES,85420,85162,46.41850,-0.66610,0,85,Oulmes
OUROUER,58130,58204,47.07700,3.29040,0,58,Ourouër
OUROUX,69860,69135,46.23790,4.56310,0,69,Ouroux
OUVILLE LA BIEN TOURNEE,14170,14654,48.98730,0.02520,0,14,Ouville-la-Bien-Tournée
OUZILLY VIGNOLLES,86330,86161,46.87680,0.00330,0,86,Ouzilly-Vignolles
OUZOUER LE MARCHE,41240,41173,47.93600,1.46050,0,41,Ouzouer-le-Marché
OZOUER LE REPOS,77720,77010,48.61900,2.89510,0,77,Ozouer-le-Repos
PAIZAY LE TORT,79500,79174,46.20820,-0.14400,0,79,Paizay-le-Tort
PALADRU,38850,38292,45.47430,5.53390,0,38,Paladru
PALEYRAC,24480,24068,44.81440,0.88850,0,24,Paleyrac
PALIS,10190,10003,48.22660,3.72180,0,10,Palis
PALMAS,12340,12177,44.42310,2.85880,0,12,Palmas
PANILLEUSE,27630,27213,49.17510,1.57080,0,27,Panilleuse
PARCAY LES PINS,49490,49228,47.51110,0.10270,0,49,Parçay-les-Pins
PARCOUL,24410,24316,45.19810,0.05790,0,24,Parcoul
PARGNY RESSON,08300,08362,49.51470,4.38140,0,08,Pargny-Resson
PAROIS,55120,55117,49.12020,5.09250,0,55,Parois
PARPECAY,36210,36229,47.20630,1.62490,0,36,Parpeçay
PARVES,01300,01286,45.73180,5.74950,0,01,Parves
PASSAIS,61350,61324,48.48860,-0.76870,0,61,Passais
PAUTAINES AUGEVILLE,52270,52187,48.36230,5.32890,0,52,Pautaines-Augeville
PAYRE,86700,86082,46.31690,0.21260,0,86,Payré
PELLOUAILLES LES VIGNES,49480,49323,47.51820,-0.47460,0,49,Pellouailles-les-Vignes
PENLY,76910,76618,49.96120,1.23430,0,76,Penly
PERCY,50410,50393,48.91740,-1.19390,0,50,Percy
PERCY EN AUGE,14370,14431,49.08600,-0.01690,0,14,Percy-en-Auge
PERLES,02160,02439,49.35550,3.67760,0,02,Perles
PERN,46170,46172,44.34230,1.41280,0,46,Pern
PERRET,22570,22107,48.21470,-3.11610,0,22,Perret
PERREUSE,89520,89420,47.55910,3.18880,0,89,Perreuse
PERS,15290,15268,44.88400,2.23510,0,15,Pers
PERTAIN,80320,80621,49.80810,2.85870,0,80,Pertain
PETIT COEUR,73260,73187,45.52610,6.46660,0,73,Petit-Cœur
PEYRILLAC ET MILLAC,24370,24325,44.90000,1.40060,0,24,Peyrillac-et-Millac
PFETTISHEIM,67370,67495,48.65840,7.62930,0,67,Pfettisheim
PIEPAPE,52600,52529,47.74350,5.31960,0,52,Piépape
PIERRE BENITE,69600,69149,45.70800,4.81120,0,69,Pierre-Bénite
PIERREFITTE SUR SEINE,93380,93066,48.93780,2.36570,0,93,Pierrefitte-sur-Seine
PIERREFONTAINES,52160,52384,47.80300,5.20060,0,52,Pierrefontaines
PIGEROLLES,23340,23090,45.78510,2.01920,0,23,Pigerolles
PINSOT,38580,38163,45.30170,6.10950,0,38,Pinsot
PIRE SUR SEICHE,35680,35220,48.01460,-1.40600,0,35,Piré-sur-Seiche
PLACY,14220,14150,48.96450,-0.37610,0,14,Placy
PLACY MONTAIGU,50160,50444,49.04110,-0.93060,0,50,Placy-Montaigu
PLANGUENOUAL,22400,22093,48.48590,-2.52010,0,22,Planguenoual
PLESSALA,22330,22046,48.28370,-2.51440,0,22,Plessala
PLESSIX BALISSON,22650,22209,48.56270,-2.13830,0,22,Plessix-Balisson
PLEVEN,22130,22237,48.51600,-2.29460,0,22,Pléven
PLIBOUX,79190,79307,46.16250,0.12570,0,79,Pliboux
PLOEUC SUR LIE,22150,22203,48.33530,-2.81720,0,22,Plœuc-sur-Lié
PLOUAGAT,22170,22206,48.53110,-2.98720,0,22,Plouagat
PLOUBALAY,22650,22209,48.56270,-2.13830,0,22,Ploubalay
PLOUGUENAST,22150,22219,48.28020,-2.69330,0,22,Plouguenast
PLOUNEOUR TREZ,29890,29021,48.65190,-4.32460,0,29,Plounéour-Trez
PLUDUNO,22130,22237,48.51600,-2.29460,0,22,Pluduno
PLUVAULT,21110,21352,47.20990,5.24640,0,21,Pluvault
POMMERIT JAUDY,22450,22264,48.73040,-3.23000,0,22,Pommerit-Jaudy
PONCE SUR LE LOIR,72340,72262,47.78490,0.64780,0,72,Poncé-sur-le-Loir
PONT TRAMBOUZE,69470,69066,46.09680,4.34450,0,69,Pont-Trambouze
PONTAMAFREY MONTPASCAL,73300,73135,45.31130,6.36360,0,73,Pontamafrey-Montpascal
PONTCHARRA SUR TURDINE,69490,69157,45.88860,4.49480,0,69,Pontcharra-sur-Turdine
PONTHOUX,39170,39286,46.38990,5.77760,0,39,Ponthoux
PONTIGNE,49150,49018,47.55980,-0.11430,0,49,Pontigné
PORTBAIL,50580,50412,49.34030,-1.68880,0,50,Portbail
PORTE JOIE,27430,27471,49.26630,1.25370,0,27,Porte-Joie
POUANCE,49520,49248,47.72320,-1.10860,0,49,Pouancé
