nom_norm,code_postal,code_insee,lat,lon,population,dept
BRAUX,21390,21101,47.41000,4.41850,180,21
BRAUX LE CHATEL,52120,52069,48.10440,4.93590,123,52
BRAUX SAINT REMY,51800,51083,49.02340,4.86730,80,51
BRAUX SAINTE COHIERE,51800,51082,49.09290,4.82070,95,51
BRAX,31490,31088,43.61540,1.23090,3037,31
BRAX,47310,47040,44.19930,0.55860,2098,47
BRAY,27170,27109,49.10410,0.83630,398,27
BRAY,71250,71057,46.50360,4.70620,128,71
BRAY DUNES,59123,59107,51.07470,2.52670,4189,59
BRAY ET LU,95710,95101,49.14290,1.66510,954,95
BRAY LES MAREUIL,80580,80135,50.05120,1.84860,249,80
BRAY SAINT AIGNAN,45460,45051,47.83000,2.37710,1803,45
BRAY SAINT CHRISTOPHE,02480,02117,49.77380,3.14200,64,02
BRAY SUR SEINE,77480,77051,48.41570,3.24570,2344,77
BRAY SUR SOMME,80340,80136,49.94790,2.71840,1184,80
BRAYE,02880,02118,49.42220,3.37690,129,02
BRAYE EN LAONNOIS,02000,02115,49.43700,3.60960,195,02
BRAYE EN THIERACHE,02140,02116,49.76650,3.96230,131,02
BRAYE SOUS FAYE,37120,37035,46.98060,0.33280,281,37
BRAYE SUR MAULNE,37330,37036,47.55980,0.26020,199,37
BRAZEY EN MORVAN,21430,21102,47.17050,4.27440,155,21
BRAZEY EN PLAINE,21470,21103,47.13780,5.21020,2425,21
BREAL SOUS MONTFORT,35310,35037,48.04440,-1.87330,6391,35
BREAL SOUS VITRE,35370,35038,48.08790,-1.05630,612,35
BREANCON,95640,95102,49.14770,2.02720,432,95
BREAU,77720,77052,48.55710,2.88050,384,77
BREAU MARS,30120,30052,44.03050,3.55810,689,30
BREAUTE,76110,76141,49.62520,0.40200,1329,76
BREBAN,51320,51084,48.57770,4.38660,85,51
BREBIERES,62117,62173,50.33870,3.02160,5283,62
BREBOTTE,90140,90018,47.57690,6.97540,353,90
BRECE,35530,35039,48.10910,-1.49340,2232,35
BRECE,53120,53042,48.39100,-0.77380,821,53
BRECEY,50370,50074,48.72700,-1.17610,2172,50
BRECH,56400,56023,47.70690,-3.02640,7052,56
BRECHAINVILLE,88350,88074,48.36180,5.50230,55,88
